videoId,title,publishDate,description,viewCount,likeCount,dislikeCount,commentCount
QJYmyhnaaek,"All possible pythagorean triples, visualized",2017-05-26 17:58:15,"The pythagorean triples like (3, 4, 5), (5, 12, 13), etc. all follow a nice pattern which complex numbers expose in a beautiful way.",2365969,52799,749,2599
NaL_Cb42WyY,Pi hiding in prime regularities,2017-05-19 15:41:54,"A story of pi, primes, complex numbers, and how number theory braids them together.",1469930,33459,414,1911
3d6DsjIBzJ4,"Taylor series | Essence of calculus, chapter 11",2017-05-07 14:06:12,"Taylor polynomials are incredibly powerful for approximations, and Taylor series can give new ways to express functions.",1998238,56618,424,2945
BLkz5LGWihw,"Higher order derivatives | Essence of calculus, chapter 10",2017-05-07 14:05:35,"A very quick primer on the second derivative, third derivative, etc.",423343,9184,57,320
FnJqaIESC2s,"What does area have to do with slope? | Essence of calculus, chapter 9",2017-05-06 13:53:16,"Integrals are used to find the average of a continuous variable, and this can offer a perspective on why integrals and derivatives are inverses, distinct from the one shown in the last video.",782910,17360,202,689
rfG8ce4nNh0,"Integration and the fundamental theorem of calculus | Essence of calculus, chapter 8",2017-05-05 15:05:21,What is an integral?  How do you think about it?,1019018,21907,239,865
kfF40MiS7zA,"Limits, L'Hôpital's rule, and epsilon delta definitions | Essence of calculus, chapter 7",2017-05-04 15:05:18,"Formal derivatives, the epsilon-delta definition, and why L'Hôpital's rule works.",981634,22180,226,1075
qb40J4N1fa4,"Implicit differentiation, what's going on here? | Essence of calculus, chapter 6",2017-05-03 15:38:43,"Implicit differentiation can feel weird, but what's going on makes much more sense once you view each side of the equation as a two-variable function, f(x, y).",1045714,21001,258,975
m2MIpDrF7Es,"What's so special about Euler's number e? | Essence of calculus, chapter 5",2017-05-02 15:09:46,What is e?  And why are exponentials proportional to their own derivatives?,1914508,43296,505,1566
YG15m2VwSjA,"Visualizing the chain rule and product rule | Essence of calculus, chapter 4",2017-05-01 15:19:28,"A visual explanation of what the chain rule and product rule are, and why they are true.",969461,21977,194,1163
S0_qX4VJhMQ,"Derivative formulas through geometry | Essence of calculus, chapter 3",2017-04-30 15:24:09,"A few derivative formulas, such as the power rule and the derivative of sine, demonstrated with geometric intuition.",1658205,37950,351,2477
9vKqVkMQHKk,"The paradox of the derivative | Essence of calculus, chapter 2",2017-04-29 16:24:03,"Derivatives center on the idea of change in an instant, but change happens across time while an instant consists of just one moment.  How does that work?",1900570,47038,540,2625
WUvTyaaNkzM,"The Essence of Calculus, Chapter 1",2017-04-28 15:58:48,What might it feel like to invent calculus?,4147723,115959,875,4511
mvmuCPvRoWQ,Euler's formula with introductory group theory,2017-03-03 22:07:09,"Intuition for e^(pi i) = -1, and an intro to group theory.",1511642,36074,368,2003
gB9n2gHsHN4,Fractals are typically not self-similar,2017-01-27 17:29:08,An explanation of fractal dimension.,2451114,62511,831,3944
IxNb1WG_Ido,Tattoos on Math,2017-01-06 18:05:41,"After a friend of mine got a tattoo with a representation of the cosecant function, it got me thinking about how there's another sense in which this function is a tattoo on math.",645148,19971,277,981
